client,provider,affected_clients_versions,category,description,documentation,fixed_by,fixed_after_days,fixed_after_releases,introduced_in,fixed_in,provider_was,client_affected_by,time_until_introduction,introduced_after_releases
assetgraph-builder,assetgraph,1,Wrong Code,The provider normalizeurl@1.0.0 introduce a new function and the client assetgraph use it. But the client forgot to update the provider version in package.json.,NO,Provider,1,1,Minor,Patch,Upgraded,Explicit,2049,385
assetgraph-builder,optipng,1,Renamed Function,The provider function was renamed by mystake,PULL,Provider,32,3,Minor,Patch,Upgraded,Explicit,937,8
assetgraph-builder,jsdom,21,Undefined object,The object in provider hasn't a set function and cannot be updated.,ISSUE,Provider,1002,86,Patch,Major,--,Implicit,1,1
testcafe,babel-eslint,6,Incompatible Providers versions,The provider babel-eslint tries to get access a file in another provider path. This second provider isn't required by anyone package and when it there isn't the babel-eslint breaks,ISSUE,Client,1,1,Minor,Patch,Dowgraded,Implicit,1236,33
apipublisher,nodent->acorn-es7-plugin,2,Incompatible Providers versions,The issues began in the acorn-es7-plugin@^1.0.10 provider who expects the client nodent to have another provider: acorn@2.6.x. But the required version of acorn isn't installed because his version in package.json was saved exact,NO,Client,1,1,Patch,Patch,Upgraded,Implicit,68,8
apipublisher,nodent,12,Just Update Provider,The provider remove one file in your major release. The client use the provider in accept all version range: >=. For this the client tries to get access a file but the provider hasn't it.,ISSUE,Client,4,1,Major,Patch,Dowgraded,Implicit,1052,155
riot,eslint->js-yaml,5,Change one rule,The provider change the code to raise a warning when the yaml file has the same key twice.,ISSUE,--,--,--,Minor,--,--,Implicit,1530,46
riot,karma->socket.io,5,Change Type of Object,The provider converted the array into an object and made an release with minor semver.,ISSUE,Client,1,1,Minor,Patch,Dowgraded,Implicit,1838,84
ember-cli-template-lint,ember-cli-htmlbars-inline-precompile,1,Undefined Object,In provider var app.options doesn't exist when used in addons,ISSUE,Provider,117,6,Patch,Minor,Upgraded,Implicit,1,1
godot,window-stream,3,Change Type of Object,The provider use a new type of Date object.,NO,Client,179,4,Patch,Patch,Upgraded,Explicit,579,14
jeggy-mongoose,babel-eslint,12,Incompatible Providers versions,The provider babel-eslint tries to get access a file in another provider path. This second provider isn't required by anyone package and when it there isn't the babel-eslint breaks,ISSUE,Client,1,1,Minor,Patch,Dowgraded,Implicit,1236,33
polyclay,cradle->request,7,Change one rule,The provider insert a in a null body request,NO,Client,44,5,Minor,Minor,--,Implicit,821,54
vquery,babel-eslint,2,Incompatible Providers versions,The provider babel-eslint tries to get access a file in another provider path. This second provider isn't required by anyone package and when it there isn't the babel-eslint breaks,ISSUE,Client,1,1,Minor,Patch,Dowgraded,Implicit,1236,33
docpad-plugin-services,docpad->cson->js2coffee,8,Wrong Code,The provider was running a install script with npm run-script insted node.,ISSUE,Provider,160,3,Patch,Patch,Upgraded,Implicit,972,16
react-vui-alerts,babel-eslint,2,Incompatible Providers versions,The provider babel-eslint tries to get access a file in another provider path. This second provider isn't required by anyone package and when it there isn't the babel-eslint breaks,ISSUE,Client,1,1,Minor,Patch,Dowgraded,Explicit,1236,33
ember-cli-chartjs,broccoli-merge-trees->broccoli-plugin,6,Change Type of Object,The object returned by provider had a wrong type.,ISSUE,Provider,15,1,Patch,Patch,Dowgraded,Implicit,491,7
angular2-jsonapi,karma-remap-istanbul->remap-istanbul->source-map,2,Change Type of Object,Provider source-map@0.7.0 return a Promisse instead the previous type,ISSUE,Client,3,1,Minor,Patch,Dowgraded,Implicit,2333,62
react-components,jsdom,1,Undefined object,The object in provider hasn't a set function and cannot be updated.,ISSUE,Provider,1002,86,Patch,Major,--,Implicit,1,1
